3	को	को	PSP:को	2	lwg__psp
4	तमिलनाडु	तमिलनाडु	NN	0	ROOT
5	में	में	PSP:में	4	lwg__psp
6	‘	‘	JJ	10	mod
7	सत्य	सत्य	NN	10	mod
8	मंगलम	मंगलम	XC	10	mod
9	’	’	XC	10	mod
10	अदालत	अदालत	NN	12	r6
11	के	का	PSP:का	10	lwg__psp
12	सुबार्डीनेट	सुबार्डीनेट	NN	0	ROOT
13	जज	जज	XC	14	mod
14	डी.	डी.	NNP	18	k1
15	6	6	QC	16	nmod__adj
16	केंद्रों	केंद्र	NN	18	k7
17	पर	पर	PSP:पर	16	lwg__psp
18	होगा	हो	VM	19	nmod__k1inv
19	मूल्यांकन	मूल्यांकन	NN	12	ccof
20	.	.	.	19	rsym

1	7	7	QC	2	nmod__adj
2	’	’	NN	13	k2
3	02	02	QC	4	mod
4	जनवरी	जनवरी	NNP	13	k7t
5	को	को	PSP:को	4	lwg__psp
6	‘	‘	NN	13	k1
7	आप	आप	PRP	13	k1
8	’	’	NN	11	mod
9	सांसद	सांसद	JJ	11	mod
10	भगवंत	भगवंत	JJ	11	nmod__adj
11	मान	मान	NN	13	k1
12	ने	ने	PSP:ने	11	lwg__psp
13	कहा	कह	VM	0	main
14	,	,	,	13	rsym
15	‘	‘	NN	20	k1
16	‘	‘	JJ	17	nmod__adj
17	सुखबीर	सुखबीर	NN	20	k1
18	मंदबुद्धि	मंदबुद्धि	JJ	19	nmod__adj
19	बच्चे	बच्चा	NN	20	k1
20	हैं	है	VM	13	k2
21	.	.	.	20	rsym

1	8	8	QC	0	ROOT
2	Nov	Nov	XC	6	mod
3	Radio	Radio	XC	6	mod
4	mantra	mantra	XC	6	mod
5	Bhavishyavani	Bhavishyavani	XC	6	mod
6	v24380न्यूज़	v24380न्यूज़	NNP	0	ROOT
7	60	60	QC	11	mod
8	सेकेंड	सेकेंड	XC	11	mod
9	’	’	XC	11	mod
10	मेंJEE	मेंJEE	XC	11	mod
11	Mains	Mains	NNP	0	ROOT
12	में	में	PSP:में	11	lwg__psp
13	पूरे	पूरा	JJ	14	nmod__adj
14	नंबर	नंबर	NN	16	k2
15	हासिल	हासिल	VM	16	pof
16	कर	कर	VAUX	0	ROOT
17	कल्पित	कल्पित	JJ	0	ROOT
18	ने	ने	PSP:ने	17	lwg__psp
19	रचा	रचा	VM	22	mod
20	इतिहास	इतिहास	NN	22	mod
21	JEE	JEE	JJ	22	nmod__adj
22	Mains	Mains	NN	0	ROOT
23	में	में	PSP:में	22	lwg__psp
24	पूरे	पूरा	JJ	25	nmod__adj
25	नंबर	नंबर	NN	27	k2
26	हासिल	हासिल	VM	27	pof
27	कर	कर	VAUX	0	ROOT
28	कल्पित	कल्पित	JJ	0	ROOT
